"order_id","instrument_id","order_type","side","order_status_event","user_id","trade_id","buyer_user_id","seller_user_id","aggressor_side","market_phase","device_id_hash","trader_type","buyer_trader_type","seller_trader_type","price","quantity","filled_quantity","remaining_quantity","is_short_sell","order_submit_timestamp","order_cancel_timestamp","match_engine_timestamp","timestamp","tradertype"
"9-5053796128-1729","9","MATCH","SELL","TRADE_MATCH","1729","TRD-9-8944113317","1729","1677","SELL","OPEN","476EE6F4","normal","normal","normal",143.619145,5,5,0,false,1773385351703570,0,1773385351703586,"2026-03-13T07:02:31.703570Z",
"4-1176049481-689","4","MATCH","BUY","TRADE_MATCH","689","TRD-4-9231626824","689","694","BUY","OPEN","7F88416E","normal","normal","normal",958.848427,12,12,0,false,1773385351703473,0,1773385351703487,"2026-03-13T07:02:31.703473Z",
"5-7973742023-929","5","MATCH","BUY","TRADE_MATCH","929","TRD-5-2305988268","929","833","BUY","OPEN","D2CF4091","normal","normal","normal",378.934981,4,4,0,false,1773385351703432,0,1773385351703449,"2026-03-13T07:02:31.703432Z",
"1-5178880342-162","1","MATCH","SELL","TRADE_MATCH","162","TRD-1-2215373218","162","48","SELL","OPEN","91E39541","normal","normal","normal",1723.033889,4,4,0,false,1773385351703394,0,1773385351703406,"2026-03-13T07:02:31.703394Z",
"1-9366804469-21","1","MATCH","SELL","TRADE_MATCH","21","TRD-1-4489342139","21","48","SELL","OPEN","91E39541","normal","normal","normal",1725.006938,14,14,0,false,1773385351703376,0,1773385351703387,"2026-03-13T07:02:31.703376Z",
"1-6319811857-18","1","MATCH","SELL","TRADE_MATCH","18","TRD-1-4440476746","18","48","SELL","OPEN","91E39541","normal","normal","normal",1725.006938,2,2,0,false,1773385351703355,0,1773385351703369,"2026-03-13T07:02:31.703355Z",
"1-6794226804-168","1","MATCH","SELL","TRADE_MATCH","168","TRD-1-1648937531","168","48","SELL","OPEN","91E39541","normal","normal","normal",1740.067739,1,1,0,false,1773385351703323,0,1773385351703343,"2026-03-13T07:02:31.703323Z",
"8-6577395259-1460","8","MATCH","BUY","TRADE_MATCH","1460","TRD-8-5903072676","1460","1432","BUY","OPEN","EA1E270E","normal","normal","normal",969.783223,1,1,0,false,1773385351703185,0,1773385351703200,"2026-03-13T07:02:31.703185Z",
"9-5053796128-1729","9","MATCH","SELL","TRADE_MATCH","1729","TRD-9-3456466699","1729","1678","SELL","OPEN","3E6ED8C9","normal","normal","normal",143.619145,24,24,0,false,1773385351703177,0,1773385351703189,"2026-03-13T07:02:31.703177Z",
"8-6577395259-1460","8","MATCH","BUY","TRADE_MATCH","1460","TRD-8-4695359535","1460","1520","BUY","OPEN","EA1E270E","normal","normal","normal",961.978398,49,49,0,false,1773385351703146,0,1773385351703170,"2026-03-13T07:02:31.703146Z",
"9-3490989292-1618","9","MATCH","SELL","TRADE_MATCH","1618","TRD-9-3495582842","1618","1678","SELL","OPEN","3E6ED8C9","normal","normal","normal",144.30082,1,1,0,false,1773385351703142,0,1773385351703165,"2026-03-13T07:02:31.703142Z",
"8-3704547413-1560","8","MATCH","BUY","TRADE_MATCH","1560","TRD-8-9423936092","1560","1520","BUY","OPEN","D1E8D815","normal","normal","normal",961.978398,24,24,0,false,1773385351703069,0,1773385351703100,"2026-03-13T07:02:31.703069Z",
"4-3110789208-770","4","MATCH","BUY","TRADE_MATCH","770","TRD-4-6432582196","770","694","BUY","OPEN","8ABB3D59","normal","normal","normal",958.848427,7,7,0,false,1773385351702965,0,1773385351703006,"2026-03-13T07:02:31.702965Z",
"1-6794226804-168","1","MATCH","SELL","TRADE_MATCH","168","TRD-1-4069795596","168","17","SELL","OPEN","1AEB28B1","normal","normal","normal",1740.067739,15,15,0,false,1773385351702728,0,1773385351702746,"2026-03-13T07:02:31.702728Z",
"1-2388898317-17","1","LIMIT","SELL","ORDER_FILLED","17","TRD-1-4069795596","168","17","NA","OPEN","1AEB28B1","normal","NA","NA",1722.366917,15,15,0,false,1773385351702726,0,1773385351702753,"2026-03-13T07:02:31.702726Z",
"1-6319811857-18","1","MATCH","SELL","TRADE_MATCH","18","TRD-1-6425890054","18","23","SELL","OPEN","8EF29B12","normal","normal","normal",1725.006938,26,26,0,false,1773385351702491,0,1773385351702503,"2026-03-13T07:02:31.702491Z",
"1-6186082230-24","1","MATCH","SELL","TRADE_MATCH","24","TRD-1-8124056043","24","23","SELL","OPEN","8EF29B12","normal","normal","normal",1725.006938,4,4,0,false,1773385351702468,0,1773385351702484,"2026-03-13T07:02:31.702468Z",
"1-6186082230-24","1","MATCH","SELL","TRADE_MATCH","24","TRD-1-5337693602","24","209","SELL","OPEN","BAE74932","normal","normal","normal",1725.006938,15,15,0,false,1773385351702424,0,1773385351702436,"2026-03-13T07:02:31.702424Z",
"1-3263730650-93","1","MATCH","SELL","TRADE_MATCH","93","TRD-1-1982648659","93","209","SELL","OPEN","BAE74932","normal","normal","normal",1725.10203,3,3,0,false,1773385351702397,0,1773385351702413,"2026-03-13T07:02:31.702397Z",
"15-8003800839-2817","15","LIMIT","SELL","ORDER_NEW","2817","NA","NA","NA","NA","OPEN","27005F7F","normal","NA","NA",69273.756067,30,0,30,false,1773385351702351,0,1773385351702355,"2026-03-13T07:02:31.702351Z",
"1-3263730650-93","1","MATCH","SELL","TRADE_MATCH","93","TRD-1-4998206347","93","144","SELL","OPEN","73295A24","normal","normal","normal",1725.10203,3,3,0,false,1773385351702265,0,1773385351702332,"2026-03-13T07:02:31.702265Z",
"1-3263730650-93","1","MATCH","SELL","TRADE_MATCH","93","TRD-1-3314637888","93","77","SELL","OPEN","8AE5C8D3","normal","normal","normal",1725.10203,4,4,0,false,1773385351702233,0,1773385351702245,"2026-03-13T07:02:31.702233Z",
"1-8228784266-194","1","MATCH","SELL","TRADE_MATCH","194","TRD-1-6738800280","194","77","SELL","OPEN","8AE5C8D3","normal","normal","normal",1725.80104,10,10,0,false,1773385351702206,0,1773385351702224,"2026-03-13T07:02:31.702206Z",
"15-5326502789-2825","15","MATCH","SELL","TRADE_MATCH","2825","TRD-15-8191368881","2825","2833","SELL","OPEN","BAFB384D","normal","normal","normal",68997.214127,3,3,0,false,1773385351702161,0,1773385351702174,"2026-03-13T07:02:31.702161Z",
"15-4259611483-2820","15","MATCH","SELL","TRADE_MATCH","2820","TRD-15-6913463205","2820","2833","SELL","OPEN","BAFB384D","normal","normal","normal",68997.214127,1,1,0,false,1773385351702141,0,1773385351702154,"2026-03-13T07:02:31.702141Z",
"15-4329719949-2822","15","MATCH","SELL","TRADE_MATCH","2822","TRD-15-6607550261","2822","2833","SELL","OPEN","BAFB384D","normal","normal","normal",69135.208555,11,11,0,false,1773385351702123,0,1773385351702134,"2026-03-13T07:02:31.702123Z",
"15-8264616173-2848","15","MATCH","SELL","TRADE_MATCH","2848","TRD-15-8899748903","2848","2833","SELL","OPEN","BAFB384D","normal","normal","normal",69342.891552,10,10,0,false,1773385351702101,0,1773385351702115,"2026-03-13T07:02:31.702101Z",
"15-3553498898-2864","15","MATCH","SELL","TRADE_MATCH","2864","TRD-15-4412369277","2864","2833","SELL","OPEN","BAFB384D","normal","normal","normal",69342.891552,16,16,0,false,1773385351702075,0,1773385351702092,"2026-03-13T07:02:31.702075Z",
"9-3490989292-1618","9","MATCH","SELL","TRADE_MATCH","1618","TRD-9-4202388722","1618","1770","SELL","OPEN","20CF2F66","normal","normal","normal",144.30082,10,10,0,false,1773385351702006,0,1773385351702018,"2026-03-13T07:02:31.702006Z",
"9-8521714594-1624","9","MATCH","SELL","TRADE_MATCH","1624","TRD-9-3077413505","1624","1770","SELL","OPEN","20CF2F66","normal","normal","normal",144.30082,14,14,0,false,1773385351701986,0,1773385351701999,"2026-03-13T07:02:31.701986Z",
"2-9483962922-286","2","MATCH","BUY","TRADE_MATCH","286","TRD-2-4639755831","286","380","BUY","OPEN","2DFB85F3","normal","normal","normal",3394.136332,17,17,0,false,1773385351701891,0,1773385351701912,"2026-03-13T07:02:31.701891Z",
"15-1985761682-2822","15","LIMIT","SELL","ORDER_NEW","2822","NA","NA","NA","NA","OPEN","BBFD7877","normal","NA","NA",69412.303579,11,0,11,false,1773385351701792,0,1773385351701795,"2026-03-13T07:02:31.701792Z",
"9-1241211744-1625","9","MATCH","SELL","TRADE_MATCH","1625","TRD-9-6050483638","1625","1770","SELL","OPEN","20CF2F66","normal","normal","normal",144.30082,18,18,0,false,1773385351701756,0,1773385351701977,"2026-03-13T07:02:31.701756Z",
"15-4329719949-2822","15","LIMIT","BUY","ORDER_FILLED","2822","TRD-15-6607550261","2822","2833","NA","OPEN","BBFD7877","normal","NA","NA",69135.208555,11,11,0,false,1773385351701752,0,1773385351702127,"2026-03-13T07:02:31.701752Z",
"15-4329719949-2822","15","LIMIT","BUY","ORDER_NEW","2822","NA","NA","NA","NA","OPEN","BBFD7877","normal","NA","NA",69135.208555,11,0,11,false,1773385351701752,0,1773385351701756,"2026-03-13T07:02:31.701752Z",
"9-1616179147-1617","9","MATCH","SELL","TRADE_MATCH","1617","TRD-9-2024088094","1617","1770","SELL","OPEN","20CF2F66","normal","normal","normal",144.30082,29,29,0,false,1773385351701734,0,1773385351701749,"2026-03-13T07:02:31.701734Z",
"2-4643898260-2","2","MATCH","SELL","TRADE_MATCH","2","TRD-2-1174358256","2","324","SELL","OPEN","3D4B676C","normal","manipulator","normal",3364.4,45,45,0,false,1773385351701640,0,1773385351701654,"2026-03-13T07:02:31.701640Z",
"4-5240353625-742","4","MATCH","SELL","TRADE_MATCH","742","TRD-4-9168302960","742","757","SELL","OPEN","9BBFD54A","normal","normal","normal",953.802877,9,9,0,false,1773385351701597,0,1773385351701614,"2026-03-13T07:02:31.701597Z",
"4-4048988729-783","4","MATCH","SELL","TRADE_MATCH","783","TRD-4-7125454079","783","757","SELL","OPEN","9BBFD54A","normal","normal","normal",955.866565,50,50,0,false,1773385351701580,0,1773385351701589,"2026-03-13T07:02:31.701580Z",
"15-3553498898-2864","15","MATCH","BUY","TRADE_MATCH","2864","TRD-15-4766395951","2864","2823","BUY","OPEN","29F39845","normal","normal","normal",69273.756067,12,12,0,false,1773385351701560,0,1773385351701650,"2026-03-13T07:02:31.701560Z",
"4-1412401802-623","4","MATCH","SELL","TRADE_MATCH","623","TRD-4-2755399289","623","757","SELL","OPEN","9BBFD54A","normal","normal","normal",956.93057,15,15,0,false,1773385351701554,0,1773385351701571,"2026-03-13T07:02:31.701554Z",
"1-3263730650-93","1","MATCH","SELL","TRADE_MATCH","93","TRD-1-9172847637","93","213","SELL","OPEN","C0E5140D","normal","normal","normal",1725.10203,17,17,0,false,1773385351701468,0,1773385351701483,"2026-03-13T07:02:31.701468Z",
"9-3856563921-1672","9","MATCH","BUY","TRADE_MATCH","1672","TRD-9-4799462217","1672","9","BUY","OPEN","446EE23B","normal","normal","manipulator",144.59,27,27,0,false,1773385351701456,0,1773385351701473,"2026-03-13T07:02:31.701456Z",
"1-2883824059-92","1","MATCH","SELL","TRADE_MATCH","92","TRD-1-3475129227","92","213","SELL","OPEN","C0E5140D","normal","normal","normal",1725.10203,10,10,0,false,1773385351701431,0,1773385351701446,"2026-03-13T07:02:31.701431Z",
"5-3126441556-918","5","MATCH","SELL","TRADE_MATCH","918","TRD-5-2864407593","918","1006","SELL","OPEN","2097C79E","normal","normal","normal",378.299434,25,25,0,false,1773385351701415,0,1773385351701514,"2026-03-13T07:02:31.701415Z",
"15-3553498898-2864","15","MATCH","BUY","TRADE_MATCH","2864","TRD-15-6943751448","2864","2825","BUY","OPEN","29F39845","normal","normal","normal",69273.756067,13,13,0,false,1773385351701412,0,1773385351701551,"2026-03-13T07:02:31.701412Z",
"5-3871293936-922","5","MATCH","SELL","TRADE_MATCH","922","TRD-5-9554740527","922","1006","SELL","OPEN","2097C79E","normal","normal","normal",378.784253,70,70,0,false,1773385351701393,0,1773385351701407,"2026-03-13T07:02:31.701393Z",
"8-7177234521-1462","8","MATCH","BUY","TRADE_MATCH","1462","TRD-8-8769854983","1462","1550","BUY","OPEN","E81E23E8","normal","normal","normal",972.729593,13,13,0,false,1773385351701352,0,1773385351701362,"2026-03-13T07:02:31.701352Z",
"8-7177234521-1462","8","MATCH","BUY","TRADE_MATCH","1462","TRD-8-6292347852","1462","1439","BUY","OPEN","E81E23E8","normal","normal","normal",969.783223,13,13,0,false,1773385351701324,0,1773385351701343,"2026-03-13T07:02:31.701324Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-4375014466","3015","2825","BUY","OPEN","9FDB6FD0","normal","normal","normal",69273.756067,17,17,0,false,1773385351701297,0,1773385351701345,"2026-03-13T07:02:31.701297Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-9045668848","3015","2820","BUY","OPEN","9FDB6FD0","normal","normal","normal",69273.756067,5,5,0,false,1773385351701280,0,1773385351701291,"2026-03-13T07:02:31.701280Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-3024554634","3015","2819","BUY","OPEN","9FDB6FD0","normal","normal","normal",69273.756067,7,7,0,false,1773385351701255,0,1773385351701273,"2026-03-13T07:02:31.701255Z",
"4-8939083924-693","4","MATCH","BUY","TRADE_MATCH","693","TRD-4-7812927276","693","694","BUY","OPEN","7585F319","normal","normal","normal",958.848427,7,7,0,false,1773385351701250,0,1773385351701269,"2026-03-13T07:02:31.701250Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-6301922636","3015","2821","BUY","OPEN","9FDB6FD0","normal","normal","normal",69132.920984,20,20,0,false,1773385351701237,0,1773385351701248,"2026-03-13T07:02:31.701237Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-3401224535","3015","2818","BUY","OPEN","9FDB6FD0","normal","normal","normal",69132.920984,23,23,0,false,1773385351701218,0,1773385351701230,"2026-03-13T07:02:31.701218Z",
"15-9660388627-3015","15","MATCH","BUY","TRADE_MATCH","3015","TRD-15-2374853652","3015","2824","BUY","OPEN","9FDB6FD0","normal","normal","normal",69058.754241,11,11,0,false,1773385351701189,0,1773385351701207,"2026-03-13T07:02:31.701189Z",
"4-1412401802-623","4","MATCH","SELL","TRADE_MATCH","623","TRD-4-5848513971","623","809","SELL","OPEN","449F4804","normal","normal","normal",956.93057,10,10,0,false,1773385351701187,0,1773385351701204,"2026-03-13T07:02:31.701187Z",
"15-2696785698-2821","15","LIMIT","SELL","ORDER_FILLED","2821","TRD-15-6301922636","3015","2821","NA","OPEN","BCFD7A0A","normal","NA","NA",69132.920984,20,20,0,false,1773385351701116,0,1773385351701242,"2026-03-13T07:02:31.701116Z",
"15-2696785698-2821","15","LIMIT","SELL","ORDER_NEW","2821","NA","NA","NA","NA","OPEN","BCFD7A0A","normal","NA","NA",69132.920984,20,0,20,false,1773385351701116,0,1773385351701119,"2026-03-13T07:02:31.701116Z",
"1-2883824059-92","1","MATCH","SELL","TRADE_MATCH","92","TRD-1-3967414352","92","151","SELL","OPEN","F42C63CE","normal","normal","normal",1725.10203,30,30,0,false,1773385351701106,0,1773385351701119,"2026-03-13T07:02:31.701106Z",
"15-1784556206-2821","15","LIMIT","BUY","ORDER_NEW","2821","NA","NA","NA","NA","OPEN","BCFD7A0A","normal","NA","NA",68856.94126,20,0,20,false,1773385351701104,0,1773385351701107,"2026-03-13T07:02:31.701104Z",
"1-2686772811-20","1","MATCH","SELL","TRADE_MATCH","20","TRD-1-8865042496","20","151","SELL","OPEN","F42C63CE","normal","normal","normal",1725.526076,26,26,0,false,1773385351701084,0,1773385351701097,"2026-03-13T07:02:31.701084Z",
"1-6012900380-130","1","MATCH","SELL","TRADE_MATCH","130","TRD-1-9418169206","130","151","SELL","OPEN","F42C63CE","normal","normal","normal",1725.856972,23,23,0,false,1773385351701058,0,1773385351701074,"2026-03-13T07:02:31.701058Z",
"5-3871293936-922","5","MATCH","SELL","TRADE_MATCH","922","TRD-5-5088001391","922","936","SELL","OPEN","4DD240C9","normal","normal","normal",378.784253,14,14,0,false,1773385351701023,0,1773385351701036,"2026-03-13T07:02:31.701023Z",
"5-4419743528-1003","5","MATCH","SELL","TRADE_MATCH","1003","TRD-5-7518418245","1003","936","SELL","OPEN","4DD240C9","normal","normal","normal",380.088321,7,7,0,false,1773385351700983,0,1773385351701010,"2026-03-13T07:02:31.700983Z",
"15-1217165985-2823","15","LIMIT","SELL","ORDER_FILLED","2823","TRD-15-4766395951","2864","2823","NA","OPEN","BAFD76E4","normal","NA","NA",69273.756067,12,12,0,false,1773385351700960,0,1773385351701639,"2026-03-13T07:02:31.700960Z",
"15-1217165985-2823","15","LIMIT","SELL","ORDER_NEW","2823","NA","NA","NA","NA","OPEN","BAFD76E4","normal","NA","NA",69273.756067,12,0,12,false,1773385351700960,0,1773385351700965,"2026-03-13T07:02:31.700960Z",
"4-4080576853-619","4","MATCH","SELL","TRADE_MATCH","619","TRD-4-6846374815","619","769","SELL","OPEN","8DB9037B","normal","normal","normal",956.93057,9,9,0,false,1773385351700908,0,1773385351700921,"2026-03-13T07:02:31.700908Z",
"8-4015326748-1565","8","MATCH","SELL","TRADE_MATCH","1565","TRD-8-6745076940","1565","1586","SELL","OPEN","5BD0196D","normal","normal","normal",957.710548,61,61,0,false,1773385351700848,0,1773385351701009,"2026-03-13T07:02:31.700848Z",
"9-7353014490-1772","9","MATCH","BUY","TRADE_MATCH","1772","TRD-9-5329855177","1772","9","BUY","OPEN","1ECF2C40","normal","normal","manipulator",144.59,75,75,0,false,1773385351700836,0,1773385351700853,"2026-03-13T07:02:31.700836Z",
"15-2258228410-2825","15","LIMIT","SELL","ORDER_FILLED","2825","TRD-15-6943751448","2864","2825","NA","OPEN","B8FD73BE","normal","NA","NA",69273.756067,30,30,0,false,1773385351700805,0,1773385351701419,"2026-03-13T07:02:31.700805Z",
"15-2258228410-2825","15","LIMIT","SELL","ORDER_PARTIAL","2825","TRD-15-4375014466","3015","2825","NA","OPEN","B8FD73BE","normal","NA","NA",69273.756067,30,17,13,false,1773385351700805,0,1773385351701303,"2026-03-13T07:02:31.700805Z",
"15-2258228410-2825","15","LIMIT","SELL","ORDER_NEW","2825","NA","NA","NA","NA","OPEN","B8FD73BE","normal","NA","NA",69273.756067,30,0,30,false,1773385351700805,0,1773385351700807,"2026-03-13T07:02:31.700805Z",
"4-4416839577-617","4","MATCH","SELL","TRADE_MATCH","617","TRD-4-4725647924","617","769","SELL","OPEN","8DB9037B","normal","normal","normal",956.93057,21,21,0,false,1773385351700772,0,1773385351700898,"2026-03-13T07:02:31.700772Z",
"15-6683691090-2820","15","LIMIT","SELL","ORDER_FILLED","2820","TRD-15-9045668848","3015","2820","NA","OPEN","BDFD7B9D","normal","NA","NA",69273.756067,5,5,0,false,1773385351700754,0,1773385351701285,"2026-03-13T07:02:31.700754Z",
"15-6683691090-2820","15","LIMIT","SELL","ORDER_NEW","2820","NA","NA","NA","NA","OPEN","BDFD7B9D","normal","NA","NA",69273.756067,5,0,5,false,1773385351700754,0,1773385351700758,"2026-03-13T07:02:31.700754Z",
"4-1206963395-625","4","MATCH","SELL","TRADE_MATCH","625","TRD-4-7056971995","625","769","SELL","OPEN","8DB9037B","normal","normal","normal",956.93073,22,22,0,false,1773385351700751,0,1773385351700763,"2026-03-13T07:02:31.700751Z",
"4-8731228937-637","4","MATCH","SELL","TRADE_MATCH","637","TRD-4-4882543445","637","769","SELL","OPEN","8DB9037B","normal","normal","normal",957.441091,8,8,0,false,1773385351700727,0,1773385351700743,"2026-03-13T07:02:31.700727Z",
"5-4419743528-1003","5","MATCH","SELL","TRADE_MATCH","1003","TRD-5-3263553373","1003","846","SELL","OPEN","CB958F2D","normal","normal","normal",380.088321,22,22,0,false,1773385351700493,0,1773385351700505,"2026-03-13T07:02:31.700493Z",
"5-5470962418-857","5","MATCH","SELL","TRADE_MATCH","857","TRD-5-5907576049","857","846","SELL","OPEN","CB958F2D","normal","normal","normal",381.215432,12,12,0,false,1773385351700468,0,1773385351700485,"2026-03-13T07:02:31.700468Z",
"4-8032923356-636","4","MATCH","SELL","TRADE_MATCH","636","TRD-4-4914347442","636","769","SELL","OPEN","8DB9037B","normal","normal","normal",957.441091,28,28,0,false,1773385351700442,0,1773385351700456,"2026-03-13T07:02:31.700442Z",
"4-3212744889-796","4","MATCH","SELL","TRADE_MATCH","796","TRD-4-6625465354","796","769","SELL","OPEN","8DB9037B","normal","normal","normal",965.208846,12,12,0,false,1773385351700414,0,1773385351700432,"2026-03-13T07:02:31.700414Z",
"1-6012900380-130","1","MATCH","SELL","TRADE_MATCH","130","TRD-1-8158479071","130","86","SELL","OPEN","8C01A0E3","normal","normal","normal",1725.856972,36,36,0,false,1773385351700301,0,1773385351700321,"2026-03-13T07:02:31.700301Z",
"9-9577486668-1725","9","MATCH","BUY","TRADE_MATCH","1725","TRD-9-9445721653","1725","9","BUY","OPEN","B1C7C4E4","normal","normal","manipulator",144.59,24,24,0,false,1773385351700278,0,1773385351700565,"2026-03-13T07:02:31.700278Z",
"15-4259611483-2820","15","MATCH","BUY","TRADE_MATCH","2820","TRD-15-4812651762","2820","2944","BUY","OPEN","BDFD7B9D","normal","normal","normal",68994.931122,4,4,0,false,1773385351700227,0,1773385351700669,"2026-03-13T07:02:31.700227Z",
"8-2552467952-1590","8","MATCH","SELL","TRADE_MATCH","1590","TRD-8-2090286968","1590","1586","SELL","OPEN","5BD0196D","normal","normal","normal",957.895401,23,23,0,false,1773385351700221,0,1773385351700828,"2026-03-13T07:02:31.700221Z",
"8-4040054279-1514","8","MATCH","SELL","TRADE_MATCH","1514","TRD-8-7254182659","1514","1439","SELL","OPEN","5F169078","normal","normal","normal",970.961897,12,12,0,false,1773385351700075,0,1773385351700093,"2026-03-13T07:02:31.700075Z",
"8-4040054279-1514","8","MATCH","SELL","TRADE_MATCH","1514","TRD-8-8242355444","1514","1576","SELL","OPEN","49E5C366","normal","normal","normal",970.961897,39,39,0,false,1773385351700042,0,1773385351700055,"2026-03-13T07:02:31.700042Z",
"8-7679929780-1500","8","MATCH","SELL","TRADE_MATCH","1500","TRD-8-4573961624","1500","1576","SELL","OPEN","49E5C366","normal","normal","normal",973.555233,38,38,0,false,1773385351700017,0,1773385351700031,"2026-03-13T07:02:31.700017Z",
"8-9527456350-1422","8","MATCH","SELL","TRADE_MATCH","1422","TRD-8-5170212061","1422","1576","SELL","OPEN","49E5C366","normal","normal","normal",973.668192,8,8,0,false,1773385351699988,0,1773385351700007,"2026-03-13T07:02:31.699988Z",
"5-4419743528-1003","5","MATCH","SELL","TRADE_MATCH","1003","TRD-5-7770792951","1003","1015","SELL","OPEN","239A0AEE","normal","normal","normal",380.088321,38,38,0,false,1773385351699944,0,1773385351699957,"2026-03-13T07:02:31.699944Z",
"5-7929361368-906","5","MATCH","SELL","TRADE_MATCH","906","TRD-5-9287600751","906","1015","SELL","OPEN","239A0AEE","normal","normal","normal",381.015991,16,16,0,false,1773385351699921,0,1773385351699935,"2026-03-13T07:02:31.699921Z",
"5-4580299566-931","5","MATCH","SELL","TRADE_MATCH","931","TRD-5-6000892902","931","1015","SELL","OPEN","239A0AEE","normal","normal","normal",382.19006,23,23,0,false,1773385351699899,0,1773385351699912,"2026-03-13T07:02:31.699899Z",
"5-7168099557-900","5","MATCH","SELL","TRADE_MATCH","900","TRD-5-1145865893","900","1015","SELL","OPEN","239A0AEE","normal","normal","normal",382.591778,9,9,0,false,1773385351699875,0,1773385351699891,"2026-03-13T07:02:31.699875Z",
"15-6161330865-2819","15","LIMIT","SELL","ORDER_FILLED","2819","TRD-15-3024554634","3015","2819","NA","OPEN","2D0068F1","normal","NA","NA",69273.756067,7,7,0,false,1773385351699859,0,1773385351701261,"2026-03-13T07:02:31.699859Z",
"15-6161330865-2819","15","LIMIT","SELL","ORDER_NEW","2819","NA","NA","NA","NA","OPEN","2D0068F1","normal","NA","NA",69273.756067,7,0,7,false,1773385351699859,0,1773385351699861,"2026-03-13T07:02:31.699859Z",
"15-6414310866-2819","15","MATCH","BUY","TRADE_MATCH","2819","TRD-15-4489138807","2819","2944","BUY","OPEN","2D0068F1","normal","normal","normal",68994.931122,2,2,0,false,1773385351699821,0,1773385351699837,"2026-03-13T07:02:31.699821Z",
"15-6414310866-2819","15","MATCH","BUY","TRADE_MATCH","2819","TRD-15-4433472830","2819","2816","BUY","OPEN","2D0068F1","normal","normal","normal",68994.655142,5,5,0,false,1773385351699788,0,1773385351699812,"2026-03-13T07:02:31.699788Z",
"15-7108637391-2816","15","LIMIT","SELL","ORDER_FILLED","2816","TRD-15-4433472830","2819","2816","NA","OPEN","26005DEC","normal","NA","NA",68994.655142,5,5,0,false,1773385351699767,0,1773385351699801,"2026-03-13T07:02:31.699767Z",
"15-7108637391-2816","15","LIMIT","SELL","ORDER_NEW","2816","NA","NA","NA","NA","OPEN","26005DEC","normal","NA","NA",68994.655142,5,0,5,false,1773385351699767,0,1773385351699771,"2026-03-13T07:02:31.699767Z",
